	Operation	Group	Group Offset	Ordinal Start	Ordinal End	Terminal End	Default Due	Tags	Op Index	Due Shift		Configs	Value
arith_add_g10_00_o05_06	Addition	10	0	5	6	10	95	o05_to_07 o01_to_05 o04_to_07 o05_to_10	1				
arith_add_g10_00_o06_07	Addition	10	0	6	7	10	96	o05_to_07 o06_to_10 o04_to_07 o05_to_10	1				
arith_add_g10_00_o07_08	Addition	10	0	7	8	10	97	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	1				
arith_add_g10_00_o08_09	Addition	10	0	8	9	10	98	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g10_00_o09_10	Addition	10	0	9	10	10	99	o08_to_10 o06_to_10 o07_to_10 o05_to_10	1				
arith_add_g10_00_o10	Addition	10	0	10		10	100	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	1				
													
arith_sub_g01_00_o01_02	Subtraction	1	0	1	2	10	101	o01_to_04 o01_to_05	2				
arith_sub_g01_00_o02_03	Subtraction	1	0	2	3	10	102	o01_to_04 o01_to_05	2				
arith_sub_g01_00_o03_04	Subtraction	1	0	3	4	10	103	o01_to_04 o01_to_05	2				
arith_sub_g01_00_o04_05	Subtraction	1	0	4	5	10	104	o01_to_04 o01_to_05 o04_to_07	2				
arith_sub_g01_00_o05_06	Subtraction	1	0	5	6	10	105	o05_to_07 o01_to_05 o04_to_07 o05_to_10	2				
arith_sub_g01_00_o06_07	Subtraction	1	0	6	7	10	106	o05_to_07 o06_to_10 o04_to_07 o05_to_10	2				
arith_sub_g01_00_o07_08	Subtraction	1	0	7	8	10	107	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	2				
arith_sub_g01_00_o08_09	Subtraction	1	0	8	9	10	108	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g01_00_o09_10	Subtraction	1	0	9	10	10	109	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g01_00_o10	Subtraction	1	0	10		10	110	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	2				
													
arith_sub_g02_00_o01_02	Subtraction	2	0	1	2	10	111	o01_to_04 o01_to_05	2				
arith_sub_g02_00_o02_03	Subtraction	2	0	2	3	10	112	o01_to_04 o01_to_05	2				
arith_sub_g02_00_o03_04	Subtraction	2	0	3	4	10	113	o01_to_04 o01_to_05	2				
arith_sub_g02_00_o04_05	Subtraction	2	0	4	5	10	114	o01_to_04 o01_to_05 o04_to_07	2				
arith_sub_g02_00_o05_06	Subtraction	2	0	5	6	10	115	o05_to_07 o01_to_05 o04_to_07 o05_to_10	2				
arith_sub_g02_00_o06_07	Subtraction	2	0	6	7	10	116	o05_to_07 o06_to_10 o04_to_07 o05_to_10	2				
arith_sub_g02_00_o07_08	Subtraction	2	0	7	8	10	117	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	2				
arith_sub_g02_00_o08_09	Subtraction	2	0	8	9	10	118	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g02_00_o09_10	Subtraction	2	0	9	10	10	119	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g02_00_o10	Subtraction	2	0	10		10	120	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	2				
													
arith_sub_g03_00_o01_02	Subtraction	3	0	1	2	10	121	o01_to_04 o01_to_05	2				
arith_sub_g03_00_o02_03	Subtraction	3	0	2	3	10	122	o01_to_04 o01_to_05	2				
arith_sub_g03_00_o03_04	Subtraction	3	0	3	4	10	123	o01_to_04 o01_to_05	2				
arith_sub_g03_00_o04_05	Subtraction	3	0	4	5	10	124	o01_to_04 o01_to_05 o04_to_07	2				
arith_sub_g03_00_o05_06	Subtraction	3	0	5	6	10	125	o05_to_07 o01_to_05 o04_to_07 o05_to_10	2				
arith_sub_g03_00_o06_07	Subtraction	3	0	6	7	10	126	o05_to_07 o06_to_10 o04_to_07 o05_to_10	2				
arith_sub_g03_00_o07_08	Subtraction	3	0	7	8	10	127	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	2				
arith_sub_g03_00_o08_09	Subtraction	3	0	8	9	10	128	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g03_00_o09_10	Subtraction	3	0	9	10	10	129	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g03_00_o10	Subtraction	3	0	10		10	130	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	2				
													
arith_sub_g04_00_o01_02	Subtraction	4	0	1	2	10	131	o01_to_04 o01_to_05	2				
arith_sub_g04_00_o02_03	Subtraction	4	0	2	3	10	132	o01_to_04 o01_to_05	2				
arith_sub_g04_00_o03_04	Subtraction	4	0	3	4	10	133	o01_to_04 o01_to_05	2				
arith_sub_g04_00_o04_05	Subtraction	4	0	4	5	10	134	o01_to_04 o01_to_05 o04_to_07	2				
arith_sub_g04_00_o05_06	Subtraction	4	0	5	6	10	135	o05_to_07 o01_to_05 o04_to_07 o05_to_10	2				
arith_sub_g04_00_o06_07	Subtraction	4	0	6	7	10	136	o05_to_07 o06_to_10 o04_to_07 o05_to_10	2				
arith_sub_g04_00_o07_08	Subtraction	4	0	7	8	10	137	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	2				
arith_sub_g04_00_o08_09	Subtraction	4	0	8	9	10	138	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g04_00_o09_10	Subtraction	4	0	9	10	10	139	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g04_00_o10	Subtraction	4	0	10		10	140	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	2				
													
arith_sub_g05_00_o01_02	Subtraction	5	0	1	2	10	141	o01_to_04 o01_to_05	2				
arith_sub_g05_00_o02_03	Subtraction	5	0	2	3	10	142	o01_to_04 o01_to_05	2				
arith_sub_g05_00_o03_04	Subtraction	5	0	3	4	10	143	o01_to_04 o01_to_05	2				
arith_sub_g05_00_o04_05	Subtraction	5	0	4	5	10	144	o01_to_04 o01_to_05 o04_to_07	2				
arith_sub_g05_00_o05_06	Subtraction	5	0	5	6	10	145	o05_to_07 o01_to_05 o04_to_07 o05_to_10	2				
arith_sub_g05_00_o06_07	Subtraction	5	0	6	7	10	146	o05_to_07 o06_to_10 o04_to_07 o05_to_10	2				
arith_sub_g05_00_o07_08	Subtraction	5	0	7	8	10	147	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	2				
arith_sub_g05_00_o08_09	Subtraction	5	0	8	9	10	148	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g05_00_o09_10	Subtraction	5	0	9	10	10	149	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g05_00_o10	Subtraction	5	0	10		10	150	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	2				
													
arith_sub_g06_00_o01_02	Subtraction	6	0	1	2	10	151	o01_to_04 o01_to_05	2				
arith_sub_g06_00_o02_03	Subtraction	6	0	2	3	10	152	o01_to_04 o01_to_05	2				
arith_sub_g06_00_o03_04	Subtraction	6	0	3	4	10	153	o01_to_04 o01_to_05	2				
arith_sub_g06_00_o04_05	Subtraction	6	0	4	5	10	154	o01_to_04 o01_to_05 o04_to_07	2				
arith_sub_g06_00_o05_06	Subtraction	6	0	5	6	10	155	o05_to_07 o01_to_05 o04_to_07 o05_to_10	2				
arith_sub_g06_00_o06_07	Subtraction	6	0	6	7	10	156	o05_to_07 o06_to_10 o04_to_07 o05_to_10	2				
arith_sub_g06_00_o07_08	Subtraction	6	0	7	8	10	157	o05_to_07 o06_to_10 o04_to_07 o05_to_10 o07_to_10	2				
arith_sub_g06_00_o08_09	Subtraction	6	0	8	9	10	158	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g06_00_o09_10	Subtraction	6	0	9	10	10	159	o08_to_10 o06_to_10 o07_to_10 o05_to_10	2				
arith_sub_g06_00_o10	Subtraction	6	0	10		10	160	o08_to_10 o06_to_10 o07_to_10 o05_to_10 o10_to_15	2				
													
arith_sub_g07_00_o01_02	Subtraction	7	0	1	2	10	161	o01_to_04 o01_to_05	2				
arith_sub_g07_00_o02_03	Subtraction	7	0	2	3	10	162	o01_to_04 o01_to_05	2				
arith_sub_g07_00_o03_04	Subtraction	7	0	3	4	10	163	o01_to_04 o01_to_05	2				
arith_sub_g07_00_o04_05	Subtraction	7	0	4	5	10	164	o01_to_04 o01_to_05 o04_to_07	2				
arith_sub_g07_00_o05_06	Subtraction	7	0	5	6	10	165	o05_to_07 o01_to_05 o04_to_07 o05_to_10	2				
arith_sub_g07_00_o06_07	Subtraction	7	0	6	7	10	166	o05_to_07 o06_to_10 o04_to_07 o05_to_10	2				
